Regione;Tutti i giorni o quasi;Qualche giorno a settimana;Qualche giorno al mese;Solo occasionalmente o mai;Totale
Piemonte;22,8;36,8;12,6;27,7;100
Valle Aosta;22;13,8;20,8;43,5;100
Liguria;24,1;30,6;10,6;34,8;100
Lombardia;28,8;36,1;13;22,1;100
Trentino-Alto Adige;23,9;33,7;9,6;32,8;100
Bolzano;22,9;36,8;12,1;28,2;100
Trento;24,8;31;7,4;36,8;100
Veneto;32,7;38,9;11,1;17,2;100
Friuli-Venezia Giulia;23,5;37,1;12,9;26,4;100
Emilia-Romagna;28,2;35,2;11,7;24,9;100
Toscana;30,2;32,3;12,6;24,9;100
Umbria;27,2;35,5;13,4;23,8;100
Marche;23,4;34;13,1;29,5;100
Lazio;28,6;35;13,7;22,7;100
Abruzzo;26;32,3;16,7;24,9;100
Molise;18;31,8;13,2;37;100
Campania;27,5;34;11,7;26,8;100
Puglia;30,1;33,7;10,4;25,8;100
Basilicata;25,3;32;12,9;29,8;100
Calabria;25,5;34,9;12;27,6;100
Sicilia;28,1;36;10,3;25,6;100
Sardegna;32;31,9;12;24,2;100
