Regione;Mattina;Pomeriggio;Sera;Totale
Piemonte;3,49;4,37;1,43;10,09
Valle Aosta;3,5;4,35;2,13;10,39
Liguria;2,51;4,09;1,27;8,27
Lombardia;3,4;4,41;1,45;10,06
Trentino-Alto Adige;3,32;4,13;1,41;9,26
Bolzano;3,4;4,17;1,34;9,31
Trento;3,25;4,1;1,47;9,21
Veneto;3,26;4,44;2,08;10,19
Friuli-Venezia Giulia;3,04;4,31;1,43;9,18
Emilia-Romagna;3,49;4,56;2,18;11,03
Toscana;2,19;3,47;1,41;7,48
Umbria;2,19;4,02;1,3;7,52
Marche;2,2;4,01;1,32;7,53
Lazio;1,32;3,58;1,14;6,43
Abruzzo;2,37;4,1;1,46;8,33
Molise;3,01;4,28;1,43;9,13
Campania;1,25;3,3;1,23;6,17
Puglia;1,18;3,08;1,14;5,4
Basilicata;2,41;4,14;1,3;8,26
Calabria;1,52;4,19;1,22;7,33
Sicilia;1,08;3,12;1,19;5,38
Sardegna;1,44;4,22;1,17;7,23
